# VB6 P-Code opcodes — encoding + verified runtime semantics
# Merged from opcodes.csv (encoding) and opcode_semantics.csv (semantics)
#
# Encoding columns:
#   table          - dispatch table (0=primary, 1-5=lead0-lead4)
#   opcode         - hex opcode byte within the table
#   size           - instruction size in bytes (excl. lead byte; -1=variable; 0=invalid)
#   mnemonic       - opcode name
#   operand_format - format specifiers (%a=frame, %s=pool, %l=branch, %c=import, etc.)
#
# Semantics columns (verified from MSVBVM60.DLL 6.00.9848 handler disassembly):
#   pops      - evaluation stack slots consumed (4 bytes each; -1=variable)
#   pushes    - evaluation stack slots produced
#   fpu_pops  - x87 FPU stack values consumed
#   fpu_push  - x87 FPU stack values produced
#   mem_read  - bytes read from memory (0=none)
#   mem_write - bytes written to memory (0=none)
#   category  - semantic category (arith, compare, convert, load_frame, etc.)
#   handler   - MSVBVM60.DLL handler address (reference only)
#   notes     - human-readable description
#
table,opcode,size,mnemonic,operand_format,pops,pushes,fpu_pops,fpu_push,mem_read,mem_write,category,handler,notes
0,0x00,2,LargeBos,%1,0,0,0,0,0,0,nop,0x66108E87,Debug marker — reads u8 line number operand; no stack effect
0,0x01,1,InvalidExcode,,0,0,0,0,0,0,,,
0,0x02,2,LargeBos,%1,0,0,0,0,0,0,nop,0x66108E87,Same handler as 0x00
0,0x03,1,InvalidExcode,,0,0,0,0,0,0,,,
0,0x04,3,FLdRfVar,%a,0,1,0,0,4,0,load_frame,0x66108E95,Push address of [EBP+sext(operand)] (LEA not LOAD); 4B pointer to 16B Variant
0,0x05,3,ImpAdLdRf,%c,0,1,0,0,4,0,load_ind,0x66108EA3,Push *(const_pool_addr + sext(op)); indirect address load
0,0x06,3,MemLdRfVar,%2,0,1,0,0,4,0,load_mem,0x66108EB3,Pop obj ptr; push addr of Variant at obj+offset (LEA)
0,0x07,5,FMemLdRf,%a %2,0,1,0,0,4,0,load_mem,0x66108EC5,Push addr of member at [this+offset] (LEA not LOAD)
0,0x08,3,FLdPr=,%a,0,1,0,0,4,0,load_frame,0x66108EC5,Load object ref from [EBP+sext(op)]; push 4B (COM interface ptr)
0,0x09,5,ImpAdCallHresult,::call %c(%a),-1,0,0,0,0,0,call,0x6610A370,Import API call (DllFunctionCall); %x=import+argsize; HRESULT checked
0,0x0A,5,ImpAdCallFPR4,%x,-1,0,0,1,0,0,call,0x6610E534,Import API call; result R4 on FPU ST0
0,0x0B,5,ImpAdCallI2,%x,-1,1,0,0,0,0,call,0x6610A3C4,Import API call; result i16 (zext to i32) pushed on eval
0,0x0C,5,ImpAdCallCy,%x,-1,2,0,0,0,0,call,0x6610E508,Import API call; result 8B Currency pushed as 2 eval slots
0,0x0D,5,VCallHresult,%v,-1,0,0,0,0,0,call,0x6610A43B,COM vtable call; %v=offset+argsize; pops args+this; HRESULT checked; no push
0,0x0E,3,VCallFPR8,%2,-1,0,0,1,0,0,call,0x6610E560,COM vtable call; pops args+this; result R8 on FPU ST0
0,0x0F,3,VCallAd,%2,-1,1,0,0,0,0,call,0x6610E4EC,COM vtable call; pops args+this; result i32/ptr pushed on eval
0,0x10,5,ThisVCallHresult,%2 %c,-1,0,0,0,0,0,call,0x6610A4A0,Like VCallHresult but uses 'this' from frame (not from eval stack)
0,0x11,3,ThisVCall,%2,-1,1,0,0,0,0,call,0x6610A4C2,Like VCallAd but uses 'this' from frame; pushes return value
0,0x12,3,ThisVCallAd,%2,-1,1,0,0,0,0,call,0x6610A4E4,Like VCallAd but uses 'this' from frame; pushes addr return value
0,0x13,1,ExitProcHresult,%},0,0,0,0,0,0,return,0x6610A51D,Return from Function with HRESULT; cleanup + frame restore
0,0x14,1,ExitProc,%},0,0,0,0,0,0,return,0x6610A529,Return from Sub (no return value); calls cleanup + frame restore
0,0x15,1,ExitProcI2,,0,0,0,0,0,0,return,0x6610A535,Return from Function As Integer; return value in eval stack TOS
0,0x16,1,ExitProcR4,,0,0,0,0,0,0,return,0x6610A541,Return from Function As Single; return value on x87 ST0
0,0x17,1,ExitProcR8,,0,0,0,0,0,0,return,0x6610A54D,Return from Function As Double; return value on x87 ST0
0,0x18,1,ExitProcCy,,0,0,0,0,0,0,return,0x6610A559,Return from Function As Currency; return value in EDX:EAX
0,0x19,3,FStAdFunc,%a,1,0,0,0,0,4,store_frame,0x66108F00,Pop addr; store to function return value slot
0,0x1A,3,FFree1Ad,%a,0,0,0,0,0,0,stack,0x66108F04,Free COM object at [EBP+sext(op)]; Release + set to NULL; no stack change
0,0x1B,3,LitStr,%s,0,1,0,0,0,0,load_lit,0x66108EDA,Push constant pool pointer: *(const_pool + sext(operand)); resolved BSTR VA
0,0x1C,3,BranchF,%l,1,0,0,0,0,0,branch,0x66108F5C,Pop TOS; if low i16==0 (False) take branch; else skip 2B target
0,0x1D,3,BranchT,%l,1,0,0,0,0,0,branch,0x66108F76,Pop TOS; if low i16!=0 (True) take branch; else skip 2B target
0,0x1E,3,Branch,%l,0,0,0,0,0,0,branch,0x66108F38,Unconditional branch; target = pcode_base + zx(u16 operand)
0,0x1F,3,CRec2Ansi,%s,0,0,0,0,0,0,convert,0x6610E2C0,Convert UDT record fields from Unicode to ANSI in-place
0,0x20,3,CRec2Uni,%s,0,0,0,0,0,0,convert,0x6610E2D0,Convert UDT record fields from ANSI to Unicode in-place
0,0x21,1,FLdPrThis,,0,1,0,0,4,0,load_frame,0x66108F07,Push this pointer from frame slot [EBP-0x30]
0,0x22,3,ImpAdLdPr,[%c],0,1,0,0,4,0,load_ind,0x661096CE,Load COM obj via *(const_pool+sext(op)); AddRef; push 4B
0,0x23,3,FStStrNoPop,%a,0,0,0,0,0,4,store_frame,0x6610A098,Like FStStr but does NOT pop TOS; TOS BSTR stays on eval stack
0,0x24,3,NewIfNullPr,%t,1,1,0,0,0,0,stack,0x6610A158,Pop obj ptr; if null create new instance; push (non-null) ptr
0,0x25,1,PopAdLdVar,,1,1,0,0,16,0,stack,0x66108F32,Pop addr; load 16B Variant from *addr; push as 4 slots (16B)
0,0x26,3,AryDescTemp,%a,0,1,0,0,0,0,stack,0x6610A168,Push addr of temp SafeArray descriptor from frame housekeeping
0,0x27,3,LitVar_Missing,%a,0,4,0,0,0,0,load_lit,0x6610A174,Push 16B Variant with vbError/Missing type; 4 eval slots
0,0x28,5,LitVarI2,%a %2,0,4,0,0,0,0,load_lit,0x6610A1A0,Read i16 from stream; push as 16B Variant(vbInteger); 4 eval slots
0,0x29,-1,FFreeAd,,-1,0,0,0,0,0,stack,0x6610A0E8,Free N COM objects; var-length: u16 count + N×i16 frame offsets
