enum_name,const_name,value
AlignConstants,vbAlignNone,0
AlignConstants,vbAlignTop,1
AlignConstants,vbAlignBottom,2
AlignConstants,vbAlignLeft,3
AlignConstants,vbAlignRight,4
AlignmentConstants,vbLeftJustify,0
AlignmentConstants,vbRightJustify,1
AlignmentConstants,vbCenter,2
ApplicationStartConstants,vbSModeStandalone,0
ApplicationStartConstants,vbSModeAutomation,1
AsyncReadConstants,vbAsyncReadSynchronousDownload,1
AsyncReadConstants,vbAsyncReadOfflineOperation,8
AsyncReadConstants,vbAsyncReadForceUpdate,16
AsyncReadConstants,vbAsyncReadResynchronize,512
AsyncReadConstants,vbAsyncReadGetFromCacheIfNetFail,524288
AsyncStatusCodeConstants,vbAsyncStatusCodeError,0
AsyncStatusCodeConstants,vbAsyncStatusCodeFindingResource,1
AsyncStatusCodeConstants,vbAsyncStatusCodeConnecting,2
AsyncStatusCodeConstants,vbAsyncStatusCodeRedirecting,3
AsyncStatusCodeConstants,vbAsyncStatusCodeBeginDownloadData,4
AsyncStatusCodeConstants,vbAsyncStatusCodeDownloadingData,5
AsyncStatusCodeConstants,vbAsyncStatusCodeEndDownloadData,6
AsyncStatusCodeConstants,vbAsyncStatusCodeUsingCachedCopy,10
AsyncStatusCodeConstants,vbAsyncStatusCodeSendingRequest,11
AsyncStatusCodeConstants,vbAsyncStatusCodeMIMETypeAvailable,13
AsyncStatusCodeConstants,vbAsyncStatusCodeCacheFileNameAvailable,14
AsyncStatusCodeConstants,vbAsyncStatusCodeBeginSyncOperation,15
AsyncStatusCodeConstants,vbAsyncStatusCodeEndSyncOperation,16
AsyncTypeConstants,vbAsyncTypePicture,0
AsyncTypeConstants,vbAsyncTypeFile,1
AsyncTypeConstants,vbAsyncTypeByteArray,2
BorderStyleConstants,vbTransparent,0
BorderStyleConstants,vbBSSolid,1
BorderStyleConstants,vbBSDash,2
BorderStyleConstants,vbBSDot,3
BorderStyleConstants,vbBSDashDot,4
BorderStyleConstants,vbBSDashDotDot,5
BorderStyleConstants,vbBSInsideSolid,6
ButtonConstants,vbButtonStandard,0
ButtonConstants,vbButtonGraphical,1
CheckBoxConstants,vbUnchecked,0
CheckBoxConstants,vbChecked,1
CheckBoxConstants,vbGrayed,2
ClipBoardConstants,vbCFLink,-16640
ClipBoardConstants,vbCFRTF,-16639
ClipBoardConstants,vbCFText,1
ClipBoardConstants,vbCFBitmap,2
ClipBoardConstants,vbCFMetafile,3
ClipBoardConstants,vbCFDIB,8
ClipBoardConstants,vbCFPalette,9
ClipBoardConstants,vbCFEMetafile,14
ClipBoardConstants,vbCFFiles,15
ColorConstants,vbBlack,0
ColorConstants,vbRed,255
ColorConstants,vbGreen,65280
ColorConstants,vbYellow,65535
ColorConstants,vbBlue,16711680
ColorConstants,vbMagenta,16711935
ColorConstants,vbCyan,16776960
ColorConstants,vbWhite,16777215
ComboBoxConstants,vbComboDropdown,0
ComboBoxConstants,vbComboSimple,1
ComboBoxConstants,vbComboDropdownList,2
DataBOFconstants,vbMoveFirst,0
DataBOFconstants,vbBOF,1
DataEOFConstants,vbMoveLast,0
DataEOFConstants,vbRSTypeTable,0
DataEOFConstants,vbEOF,1
DataEOFConstants,vbRSTypeDynaset,1
DataEOFConstants,vbAddNew,2
DataEOFConstants,vbRSTypeSnapShot,2
DataErrorConstants,vbDataErrContinue,0
DataErrorConstants,vbDataErrDisplay,1
DataValidateConstants,vbDataActionCancel,0
DataValidateConstants,vbDataActionMoveFirst,1
DataValidateConstants,vbDataActionMovePrevious,2
DataValidateConstants,vbDataActionMoveNext,3
DataValidateConstants,vbDataActionMoveLast,4
DataValidateConstants,vbDataActionAddNew,5
DataValidateConstants,vbDataActionUpdate,6
DataValidateConstants,vbDataActionDelete,7
DataValidateConstants,vbDataActionFind,8
DataValidateConstants,vbDataActionBookmark,9
DataValidateConstants,vbDataActionClose,10
DataValidateConstants,vbDataActionUnload,11
DefaultCursorTypeConstants,vbUseDefaultCursor,0
DefaultCursorTypeConstants,vbUseODBCCursor,1
DefaultCursorTypeConstants,vbUseServersideCursor,2
DragConstants,vbCancel,0
DragConstants,vbBeginDrag,1
DragConstants,vbEndDrag,2
DragModeConstants,vbManual,0
DragModeConstants,vbAutomatic,1
DragOverConstants,vbEnter,0
DragOverConstants,vbLeave,1
DragOverConstants,vbOver,2
DrawModeConstants,vbBlackness,1
DrawModeConstants,vbNotMergePen,2
DrawModeConstants,vbMaskNotPen,3
DrawModeConstants,vbNotCopyPen,4
DrawModeConstants,vbMaskPenNot,5
DrawModeConstants,vbInvert,6
DrawModeConstants,vbXorPen,7
DrawModeConstants,vbNotMaskPen,8
DrawModeConstants,vbMaskPen,9
DrawModeConstants,vbNotXorPen,10
DrawModeConstants,vbNop,11
DrawModeConstants,vbMergeNotPen,12
DrawModeConstants,vbCopyPen,13
DrawModeConstants,vbMergePenNot,14
DrawModeConstants,vbMergePen,15
DrawModeConstants,vbWhiteness,16
DrawStyleConstants,vbSolid,0
DrawStyleConstants,vbDash,1
DrawStyleConstants,vbDot,2
