# VB6 Control Property Descriptor Tables
# Extracted from MSVBVM60.DLL v6.00.9848 runtime descriptor pointer tables.
# Each row represents one entry in a control's property pointer table.
# Status: active=serializable, fontsub=flag-only, skip=runtime-only, sep=separator, obj=COM object ref
#
# Descriptor Table VAs:
#   Timer:          0x66028A50 (9 entries)
#   Label:          0x66027040 (47 entries)
#   CommandButton:  0x660283C8 (43 entries)
#   TextBox:        0x66026A40 (58 entries)
#   CheckBox:       0x66025A78 (49 entries)
#   OptionButton:   0x66027BB0 (43 entries)
#   Frame:          0x660256A8 (35 entries)
#   PictureBox:     0x66027FD8 (69 entries)
#   ListBox:        0x66002330 (56 entries)
#   ComboBox:       0x66025F30 (56 entries)
#   HScrollBar:     0x660286B0 (27 entries)
#   VScrollBar:     0x660286B0 (27 entries, shared with HScrollBar)
#   Image:          0x660272E8 (29 entries)
#   Shape:          0x66028900 (19 entries)
#   Line:           0x66027748 (14 entries)
#   Data:           0x660241E8 (46 entries)
#   DriveListBox:   0x660265D0 (38 entries)
#   DirListBox:     0x660262D0 (40 entries)
#   FileListBox:    0x6601E8C0 (49 entries)
#   Menu:           0x66027940 (14 entries)
#   OLE:            0x66025000 (75 entries)
#   Form:           0x660226B0 (75 entries)
#   MDIForm:        0x660226B0 (75 entries, shared with Form)
#   PropertyPage:   0x6602A3F0 (78 entries)
#   UserControl:    0x66029530 (94 entries)
#   UserDocument:   0x66029D10 (88 entries)
#
control_type,index,name,ser_type,callback_bytes,status,flags,descriptor_va
CheckBox,0,Name,18,0,skip,0x8400D412,0x66001E50
CheckBox,1,Caption,1,0,active,0x80EA4401,0x66022290
CheckBox,2,Index,17,0,active,0x84C1D411,0x66001F00
CheckBox,3,BackColor,5,0,active,0x80F12405,0x66022260
CheckBox,4,ForeColor,5,0,active,0x80F12405,0x66022280
CheckBox,5,LeftTop,8,4,active,0x90222408,0x66001DC0
CheckBox,6,Top,10,0,flag,0x9020240A,0x66001DE0
CheckBox,7,Width,9,0,flag,0x90202409,0x66001E00
CheckBox,8,Height,11,0,flag,0x9020240B,0x66001DA0
CheckBox,9,Enabled,4,0,active,0x80E14404,0x66001D90
CheckBox,10,Visible,4,0,active,0x80E14404,0x66001DF0
CheckBox,11,MousePointer,6,0,active,0x80C12406,0x66001D50
CheckBox,12,FontName,1,0,active,0x90224C01,0x66001CF0
CheckBox,13,FontBold,4,0,flag,0x90204C04,0x66001CD0
CheckBox,14,FontItalic,4,0,flag,0x90204C04,0x66001CE0
CheckBox,15,FontStrikethru,4,0,flag,0x90204C04,0x66001D10
CheckBox,16,FontUnderline,4,0,flag,0x90204C04,0x66001D20
CheckBox,17,FontSize,7,0,flag,0x90304C07,0x66001D00
CheckBox,18,TabIndex,2,0,active,0x84012402,0x66001FF0
CheckBox,19,Value,6,0,active,0x00C14406,0x66025A30
CheckBox,20,Parent,25,0,skip,0x80003819,0x66001F10
CheckBox,21,DragMode,6,0,active,0x80C12606,0x66001ED0
CheckBox,22,DragIcon,21,0,active,0x84C1A215,0x66001EC0
CheckBox,23,TabStop,4,0,active,0x80C14404,0x66002000
CheckBox,24,Tag,13,0,active,0x80C1220D,0x66001DD0
CheckBox,25,Alignment,6,0,active,0x00C12406,0x66025A48
CheckBox,26,HelpContextID,3,0,active,0x80C12203,0x66001DB0
CheckBox,27,hWnd,3,0,flag,0x80003803,0x66001D30
CheckBox,28,DataSource,1,0,active,0x82F13201,0x66001FE0
CheckBox,29,DataField,1,0,active,0x80F12601,0x66001FD0
CheckBox,30,DataChanged,4,0,flag,0x80106E04,0x66001FC0
CheckBox,31,MouseIcon,21,0,active,0x84C1A615,0x66001D40
CheckBox,32,Font,20,0,active,0x80224414,0x66001CC0
CheckBox,33,WhatsThisHelpID,3,0,active,0x80C12203,0x66001EF0
CheckBox,34,Appearance,6,0,active,0x80C12606,0x66001CA0
CheckBox,35,Container,32,0,skip,0x80004C20,0x66001FB0
CheckBox,36,RightToLeft,4,0,active,0x80C14404,0x66114000
CheckBox,37,ToolTipText,1,0,active,0x80D12401,0x66001F20
CheckBox,38,Picture,21,0,active,0x84E14495,0x660259E0
CheckBox,39,DisabledPicture,21,0,active,0x84E14495,0x66025A00
CheckBox,40,DownPicture,21,0,active,0x84E14495,0x660259F0
CheckBox,41,Style,6,0,active,0x00C13406,0x66025A60
CheckBox,42,OLEDropMode,6,0,active,0x80412406,0x66001D70
CheckBox,43,MaskColor,5,0,active,0x80F14405,0x66025A10
CheckBox,44,UseMaskColor,4,0,active,0x80E14404,0x66025A20
CheckBox,45,CausesValidation,4,0,active,0x80C12204,0x66002010
CheckBox,46,DataMember,33,0,active,0x80F12621,0x660020A0
CheckBox,47,DataFormat,22,0,active,0x84654416,0x66002070
CheckBox,48,DataSource(obj),22,0,flag,0x84244C16,0x66002088
ComboBox,0,Name,18,0,skip,0x8400D412,0x66001E50
ComboBox,1,Style,6,0,active,0x00C13406,0x66025ED8
ComboBox,2,Index,17,0,active,0x84C1D411,0x66001F00
ComboBox,3,BackColor,5,0,active,0x80F12405,0x66001E40
ComboBox,4,ForeColor,5,0,active,0x80F12405,0x66001E60
ComboBox,5,LeftTop,8,4,active,0x90222408,0x66001DC0
ComboBox,6,Top,10,0,flag,0x9020240A,0x66001DE0
ComboBox,7,Width,9,0,flag,0x90202409,0x66001E00
ComboBox,8,Height,11,0,flag,0x9020240B,0x66001DA0
ComboBox,9,Enabled,4,0,active,0x80E14404,0x66001D90
ComboBox,10,Visible,4,0,active,0x80E14404,0x66001DF0
ComboBox,11,MousePointer,6,0,active,0x80C12406,0x66001D50
ComboBox,12,Text,1,0,active,0x80EE4401,0x66025E50
ComboBox,13,FontName,1,0,active,0x90224C01,0x66001CF0
ComboBox,14,FontBold,4,0,flag,0x90204C04,0x66001CD0
ComboBox,15,FontItalic,4,0,flag,0x90204C04,0x66001CE0
ComboBox,16,FontStrikethru,4,0,flag,0x90204C04,0x66001D10
ComboBox,17,FontUnderline,4,0,flag,0x90204C04,0x66001D20
ComboBox,18,FontSize,7,0,flag,0x90304C07,0x66001D00
ComboBox,19,TabIndex,2,0,active,0x84012402,0x66001FF0
ComboBox,20,ListCount,2,0,flag,0x00005802,0x66025E78
ComboBox,21,ListIndex,2,0,flag,0x00204C02,0x66025E88
ComboBox,22,List,1,0,active,0x08064501,0x66025E60
ComboBox,23,Sorted,4,0,active,0x00E13204,0x66025EC8
